Location Name,Type,Address,Coordinates
Gričiupis,#poly-F8971B-1200-76,"Gričiupis, Kaunas","23.9418697, 54.9112577; 23.9411621, 54.908203; 23.958714, 54.900488; 23.9588642, 54.8983781; 23.9672756, 54.9008273; 23.968488, 54.9008489; 23.9686489, 54.8985138; 23.9638692, 54.8984985; 23.9635607, 54.8997123; 23.9515203, 54.8962805; 23.9474484, 54.8956124; 23.9397454, 54.8892711; 23.9377177, 54.8868706; 23.93614, 54.8844645; 23.9426046, 54.8766437; 23.9449856, 54.8737329; 23.9580938, 54.868056; 23.9608789, 54.8716666; 23.9616433, 54.8745409; 23.9609411, 54.8774745; 23.9590221, 54.8795394; 23.9576659, 54.8819836; 23.9566709, 54.8845018; 23.9563978, 54.8859831; 23.9570538, 54.888452; 23.9575079, 54.8899338; 23.9582499, 54.8909154; 23.9589921, 54.8920451; 23.9615064, 54.8932184; 23.9712882, 54.8957129; 23.9749359, 54.8954476; 23.9769529, 54.8949941; 23.9795279, 54.8968234; 23.9802695, 54.8962921; 23.980067, 54.8959829; 23.9805297, 54.8958526; 23.9807825, 54.8961823; 23.9839964, 54.8951299; 23.9823896, 54.8932527; 23.9846398, 54.8921303; 23.9865219, 54.8909981; 23.9872131, 54.8904335; 23.9909066, 54.8875821; 23.9962938, 54.8876619; 23.9975285, 54.8901702; 23.9962741, 54.8932214; 24.0046145, 54.8954; 24.0022926, 54.8960903; 23.9985929, 54.8972492; 23.9912653, 54.8994392; 23.9863944, 54.9008828; 23.9858174, 54.9010613; 23.9815664, 54.9014627; 23.9780473, 54.9018575; 23.9784336, 54.904547; 23.9804934, 54.9068354; 23.9808796, 54.9072085; 23.9811371, 54.9074336; 23.9840983, 54.9067367; 23.9846348, 54.9073134; 23.9816952, 54.9080875; 23.9835835, 54.9106163; 23.9808637, 54.9112639; 23.9714813, 54.9118498; 23.9691639, 54.9116525; 23.955946, 54.9125405; 23.9418697, 54.9112577"
Dainava,#poly-F8971B-1200-76,"Dainava, Kaunas","23.9364624, 54.9123925; 23.9418697, 54.9112577; 23.955946, 54.9125405; 23.9678764, 54.9118005; 23.9714813, 54.9118498; 23.9754295, 54.9116525; 23.9808637, 54.9112639; 23.9835835, 54.9106163; 24.003627, 54.9063168; 24.010032, 54.9051674; 24.0078965, 54.902784; 24.0039833, 54.8993873; 24.002947, 54.8985216; 24.0000808, 54.8991381; 24.0004547, 54.8997175; 23.9872567, 54.9026349; 23.9858174, 54.9010613; 23.9994089, 54.8970349; 24.0046145, 54.8954; 24.0005612, 54.8943625; 23.9962741, 54.8932214; 23.9971157, 54.8911218; 23.9975285, 54.8901702; 23.9962938, 54.8876619; 24.0098973, 54.8899436; 24.0220258, 54.898821; 24.0244982, 54.8997512; 24.0277005, 54.9035931; 24.0241384, 54.9068895; 24.0215201, 54.9094458; 24.0202332, 54.9128613; 23.9854718, 54.9138233; 23.9855576, 54.9147607; 23.9874458, 54.9147607; 23.98736, 54.9159447; 23.9855576, 54.9159447; 23.9857292, 54.9168327; 23.9859867, 54.9175233; 23.9869308, 54.918066; 23.9890766, 54.9187073; 23.9912224, 54.9189046; 23.9940977, 54.9188646; 23.9941192, 54.9196631; 23.9945591, 54.9196723; 23.9945537, 54.9188445; 23.9983463, 54.9188306; 23.9989471, 54.9274378; 23.9983463, 54.9284242; 23.997488, 54.9291146; 23.9964581, 54.9295585; 23.987875, 54.9308407; 23.9860725, 54.9309393; 23.9837551, 54.9305448; 23.980515, 54.9298698; 23.9774036, 54.9286214; 23.9736271, 54.9270432; 23.9725971, 54.9278817; 23.9714813, 54.927931; 23.9614391, 54.9232947; 23.9622974, 54.9227522; 23.9604092, 54.9219629; 23.9596367, 54.9224562; 23.9480925, 54.9172027; 23.9476526, 54.9170115; 23.947084, 54.916771; 23.9465046, 54.9165367; 23.9412203, 54.9143383; 23.9364624, 54.9123925"
Šilainiai,#poly-F8971B-1200-76,"Šilainiai, Kaunas","23.8555241, 54.9057313; 23.8592148, 54.9043003; 23.8634205, 54.903264; 23.868165, 54.9015976; 23.8727359, 54.8999818; 23.8793015, 54.9001057; 23.889513, 54.9019315; 23.8944912, 54.9049418; 23.8980103, 54.9067676; 23.9026451, 54.9090374; 23.9080525, 54.9117018; 23.9090824, 54.9140699; 23.9096832, 54.9170793; 23.9103699, 54.9196939; 23.9107991, 54.9209271; 23.9111692, 54.9218767; 23.9113998, 54.9229001; 23.9117431, 54.9237387; 23.9120865, 54.9274378; 23.912344, 54.9331092; 23.8979727, 54.9356301; 23.8897705, 54.936265; 23.8765526, 54.9348843; 23.8752652, 54.9344528; 23.8743211, 54.9339659; 23.874128, 54.9336978; 23.8738705, 54.9334651; 23.8734842, 54.9332872; 23.8728727, 54.932927; 23.8722021, 54.9326606; 23.8719419, 54.932552; 23.8717582, 54.9324361; 23.8716019, 54.9322364; 23.8710594, 54.9316791; 23.8701582, 54.9312106; 23.8644614, 54.9305141; 23.8618597, 54.9296605; 23.8592714, 54.9290366; 23.8569901, 54.9285521; 23.8552485, 54.9278908; 23.853219, 54.926919; 23.8512598, 54.9259893; 23.8473266, 54.9229117; 23.8463896, 54.921447; 23.843346, 54.9186675; 23.8401072, 54.9163898; 23.837629, 54.9147084; 23.8454604, 54.9114542; 23.8512642, 54.9085684; 23.8555241, 54.9057313"
"PC ""Senukai"", Draugystės g.",#poly-F8971B-1200-76,"Draugystės g. 8C, Kaunas","23.9857078, 54.9088894; 23.9863086, 54.9087414; 23.9867377, 54.9093951; 23.9861155, 54.9095308; 23.9857078, 54.9088894"
"PC ""Senukai"", Draugystės g.",#icon-503-DB4436,"Draugystės g. 8C, Kaunas","23.9862013, 54.9091608"
"PC ""Senukai"", Elektrėnų g.",#poly-F8971B-1200-76,"Elektrėnų g. 1, Kaunas","23.9907342, 54.913811; 23.9906913, 54.9135489; 23.9918071, 54.9135211; 23.9918178, 54.9137925; 23.9907342, 54.913811"
"PC ""Senukai"", Islandijos pl.",#poly-F8971B-1200-76,"Islandijos pl. 32, Kaunas","23.8968945, 54.9396425; 23.898375, 54.9394514; 23.8985038, 54.9397596; 23.8970017, 54.9399445; 23.8968945, 54.9396425"
"PC ""Senukai"", Islandijos pl.",#icon-503-DB4436,"Islandijos pl. 32, Kaunas","23.8976562, 54.9397349"
"PC ""Express Market"", Raudondvaris.",#poly-F8971B-1200-76,"Instituto g. 1, Raudondvaris, Lietuva.","23.7806797, 54.9377997; 23.7808943, 54.9373806; 23.7815917, 54.9375223; 23.7814522, 54.9377442; 23.7810659, 54.9376826; 23.7809587, 54.9378552; 23.7806797, 54.9377997"
"PC ""Iki"", Raudondvaris.",#poly-F8971B-1200-76,"J. Naujalio g. 20, Raudondvaris, Lietuva.","23.772676, 54.9411216; 23.7724614, 54.9409614; 23.7735987, 54.9404005; 23.7738347, 54.9405731; 23.772676, 54.9411216"
"PC ""Iki"", Raudondvaris.",#icon-503-DB4436,"J. Naujalio g. 20, Raudondvaris, Lietuva.","23.7730408, 54.9408196"
"PC ""Express Market"", Raudondvaris.",#icon-503-DB4436,"Instituto g. 1, Raudondvaris, Lietuva. ","23.7810713, 54.9375871"
Giraitės Paštas,#poly-F8971B-2801-51,"Akacijų g.2, Giraitė, Kauno r.","23.8634956, 54.957496; 23.8632167, 54.9574221; 23.8637209, 54.9568923; 23.8639784, 54.9569477; 23.8634956, 54.957496"
"Giraitės Paštas, KAUn",#icon-503-DB4436,"Akacijų g.2, Giraitė, Kauno r.","23.8636136, 54.9572065"
"Kauno oro uostas, P2",#poly-F8971B-3401-76,"Oro uosto g. 4, Karmėlava","24.072386, 54.9677301; 24.0753043, 54.9678409; 24.0752614, 54.9682474; 24.0723217, 54.9681119; 24.072386, 54.9677301"
"Kauno oro uostas, P2",#icon-503-DB4436,"Oro uosto g. 4, Karmėlava","24.0737057, 54.9679918"
Apžvalgos Aikštelė Aleksote - Kaunas,#poly-F8971B-2801-87,"Amerikos Lietuvių g. 5, Kaunas,","23.8865519, 54.8909372; 23.8865089, 54.890715; 23.886981, 54.8906842; 23.8870025, 54.8909187; 23.8865519, 54.8909372"
Apžvalgos Aikštelė Aleksote - Kaunas,#icon-503-DB4436,"Amerikos Lietuvių g. 5, Kaunas","23.886745, 54.8907952"
"PC ''IKI'', Ramučiai",#poly-F8971B-1200-76,,"24.0310961, 54.9540861; 24.0312195, 54.9539567; 24.0309674, 54.9538828; 24.0312007, 54.9536425; 24.0323246, 54.9540368; 24.0319705, 54.9543911; 24.0310961, 54.9540861"
"PC ''IKI'', Ramučiai",#icon-503-DB4436,,"24.031662, 54.9540492"
"PC ''Šilas'', Aleksotas",#poly-F8971B-1200-76,,"23.880364, 54.848128; 23.8802245, 54.8477759; 23.8806215, 54.8477327; 23.8807502, 54.8480832; 23.880364, 54.848128"
"PC ''Šilas'', Aleksotas",#icon-503-DB4436,,"23.880482, 54.8479489"
"Technopolis, Europos Pr.",#poly-F8971B-1200-76,,"23.8796264, 54.8745295; 23.8804096, 54.8745264; 23.8804257, 54.874832; 23.8796693, 54.8748752; 23.8796264, 54.8745295"
"Technopolis, Europos Pr.",#icon-503-DB4436,,"23.8800234, 54.8747208"
Noreikiškės,#poly-F8971B-1200-76,,"23.8485342, 54.8890212; 23.848958, 54.8890582; 23.8487649, 54.8895827; 23.8483572, 54.8895395; 23.8485342, 54.8890212"
Noreikiškės,#icon-503-DB4436,,"23.8486201, 54.889305"
"Panemunė, A. Smetonos al.",#poly-F8971B-1200-76,,"23.9650977, 54.8723719; 23.9663315, 54.8753597; 23.9669859, 54.8752857; 23.9671469, 54.8758289; 23.9661598, 54.8759276; 23.9646363, 54.8723905; 23.9650977, 54.8723719"
"Panemunė, A. Smetonos al.",#icon-503-DB4436,,"23.9665461, 54.8755758"
Žaliakalnis,#poly-F8971B-1200-76,,"23.9418697, 54.9112577; 23.9402389, 54.9116155; 23.9364624, 54.9123925; 23.9308834, 54.9133793; 23.9249075, 54.9130709; 23.9223862, 54.9129352; 23.920412, 54.9134841; 23.9152622, 54.9148594; 23.9095545, 54.9158214; 23.9080525, 54.9117018; 23.9055204, 54.9104683; 23.9013147, 54.9084207; 23.8966799, 54.9060275; 23.8921309, 54.9036341; 23.889513, 54.9019315; 23.89359, 54.9006484; 23.8932037, 54.8996367; 23.8944912, 54.898773; 23.8954353, 54.8986249; 23.8959289, 54.8990136; 23.896637, 54.8992418; 23.8976669, 54.8991678; 23.8985252, 54.8991184; 23.8984394, 54.8986249; 23.8985682, 54.8983781; 23.9016151, 54.8982547; 23.9094257, 54.9012159; 23.9145327, 54.9009445; 23.9153159, 54.90129; 23.9161098, 54.9013085; 23.917459, 54.9012314; 23.9185077, 54.9009969; 23.9206964, 54.9004541; 23.9217934, 54.9002058; 23.9231855, 54.8998557; 23.9292955, 54.8954907; 23.9347726, 54.8939236; 23.9316558, 54.9006375; 23.9311409, 54.9016439; 23.9313125, 54.9029463; 23.9294135, 54.9026718; 23.929097, 54.9031344; 23.9313071, 54.9032238; 23.932085, 54.9064962; 23.9411621, 54.908203; 23.9418697, 54.9112577"
ADOTAS,#poly-F8971B-1200-76,,"23.8946521, 54.9553337; 23.8943624, 54.9552413; 23.8952422, 54.9546036; 23.8956714, 54.9544188; 23.8965994, 54.95481; 23.8959932, 54.955155; 23.8955855, 54.9549856; 23.8959181, 54.9546991; 23.8955963, 54.9546036; 23.8946521, 54.9553337"
Domeikava,#poly-F8971B-1200-76,,"23.9241323, 54.9673298; 23.9231774, 54.967068; 23.9232954, 54.9669479; 23.9242584, 54.967222; 23.9241323, 54.9673298"
Garliavos paštas,#poly-F8971B-1200-76,,"23.8731515, 54.8225514; 23.8732266, 54.8222748; 23.8739455, 54.8222625; 23.8739401, 54.8225391; 23.8731515, 54.8225514"
Kauno marių aikštelė,#poly-F8971B-1200-76,,"24.0150538, 54.8767255; 24.0147212, 54.8769323; 24.0145576, 54.8770773; 24.0145442, 54.8771205; 24.0144798, 54.8770835; 24.0143108, 54.8766236; 24.0145173, 54.8765233; 24.0146085, 54.8764246; 24.0147587, 54.876244; 24.0149304, 54.8762286; 24.0154347, 54.8762409; 24.0154669, 54.8762533; 24.0154883, 54.8763057; 24.0153515, 54.8763798; 24.0150538, 54.8767255"
Kauno marių aikštelė,#icon-503-DB4436,,"24.0148285, 54.8766205"
UAB FESTO,#poly-F8971B-1200-76,,"24.0001139, 54.9255436; 24.000071, 54.9252939; 24.0022704, 54.9251767; 24.0022758, 54.9253555; 24.0005752, 54.9254264; 24.000586, 54.9255343; 24.0001139, 54.9255436"
"VC ""Plaza"", Taikos pr. 131B",#poly-F8971B-1200-76,,"23.999548, 54.9201748; 23.9994621, 54.9193362; 24.001801, 54.9192931; 24.0018439, 54.9201502; 23.999548, 54.9201748"
"VC ""Plaza"", Taikos pr. 131B",#icon-503-DB4436,,"24.0005565, 54.919811"
Vytėnai,#poly-F8971B-1200-76,,"23.9028382, 54.9393343; 23.9064646, 54.9388783; 23.9107235, 54.9494894; 23.9126659, 54.9518681; 23.9070868, 54.9527184; 23.8993192, 54.9462364; 23.8884616, 54.9493173; 23.8818955, 54.9451026; 23.8884187, 54.9414667; 23.9028382, 54.9393343"
Garliavos paštas,#icon-503-DB4436,,"23.8735485, 54.8223984"
Adotas,#icon-503-DB4436,,"23.8960147, 54.9548624"
Domeikavos paštas,#icon-503-DB4436,,"23.9236844, 54.9671512"
Kauno pilis,#icon-503-DB4436,"Pilies g. 17, Kaunas","23.8872492, 54.8992711"
"PC ""Iki""",#icon-503-DB4436,"Jonavos g. 16, Kaunas","23.8918814, 54.9011496"
Rotušės aikštė,#icon-503-DB4436,"Rotušės a. 3, Kaunas","23.8872895, 54.8965643"
Šalia požeminės perėjos,#icon-503-DB4436,"Vilniaus g. 50, Kaunas","23.8954702, 54.8966784"
E. Ožeškienės stotelė,#icon-503-DB4436,"Laisvės al. 110, Kaunas","23.8993943, 54.8974542"
Kauno miesto savivaldybė,#icon-503-DB4436,"Laisvės al. 96, Kaunas","23.9054561, 54.8975777"
Vytauto Didžiojo universitetas,#icon-503-DB4436,"K. Donelaičio g. 62, Kaunas","23.9134142, 54.8988269"
Kauno kolegija,#icon-503-DB4436,"K. Petrausko g. 26, Kaunas","23.9321038, 54.906177"
"PC ""Akropolis""",#icon-503-DB4436,"Griunvaldo g. 18, Kaunas","23.9205033, 54.8920278"
Parodos kalno papėdė,#icon-503-DB4436,"Vytauto pr. 66, Kaunas","23.9255485, 54.8968573"
Parodos kalnas,#icon-503-DB4436,"K. Petrausko g. 43, Kaunas","23.9324874, 54.8991215"
M. Daukšos g.,#icon-503-DB4436,"M. Daukšos g. 19, Kaunas","23.8911974, 54.8968203"
Žalgirio arena,#icon-503-DB4436,"Mickevičiaus g. tiltas, Kaunas","23.9147285, 54.8922422"
Kauno soboras,#icon-503-DB4436,"Gedimino g. 42, Kaunas","23.9212382, 54.8973478"
Kaunas Camp Inn,,#icon-503-DB4436-nodesc,"23.8335943, 54.9155809"
Krasta Auto Vilnius,#icon-503-DB4436,"Ozo g. 10A, Vilnius","25.2794217, 54.7135658"
Technopolis Delta,#icon-503-DB4436,"Balčiukonio g. 7, Vilnius","25.2823788, 54.7211317"
Blyninė,#icon-503-DB4436,"Vytauto g. 74, Palanga","21.065214, 55.9146105"
"Baras ""Kablys. Jūra. Kultūra""",#icon-503-DB4436,"S.Dariaus ir S.Girėno g. 13, Palanga","21.0581034, 55.9119663"
"Hotel ""Auska""",#icon-503-DB4436,"Vytauto g. 6, Palanga","21.0606945, 55.8969936"
LEZ 2,#icon-503-DB4436,"Verslo g. 8, Klaipėda","21.2041926, 55.6949394"
LEZ 1,#icon-503-DB4436,"Pramonės g. 8, Klaipėda","21.1962104, 55.6938178"
LEZ 3,#icon-503-DB4436,"Pramonės g. 10, Klaipėda","21.2001157, 55.6910603"
LEZ 4,#icon-503-DB4436,"Pramonės g. 14, Klaipėda","21.2034631, 55.6880123"
LEZ 5,#icon-503-DB4436,"Kretainio g. 4, Klaipėda","21.2035489, 55.6845165"
LSMU Veterinarijos akademija,#icon-503-DB4436,"Tilžės g. 18, Kaunas","23.8781297, 54.9090621"
"PC ""Molas""",#icon-503-DB4436,"K. Baršausko g. 66A, Kaunas.","23.9665997, 54.899612"
"PC ""Savas""",#icon-503-DB4436,"Savanorių pr. 346, Kaunas","23.9623833, 54.9238003"
"PC ""IKI"", Žemaičių pl.",#icon-503-DB4436,"Žemaičių pl. 23, Kaunas","23.8878715, 54.9283625"
Čėčėnijos aikštė,#icon-503-DB4436,"Lukšio g. 46, Kaunas","23.9500773, 54.9266117"
PM “Urmas“,#icon-503-DB4436,"Pramonės pr. 16, Kaunas","23.9862549, 54.9153404"
Delfinariumas,#icon-503-DB4436,"Smiltynės g. 3, Klaipėda","21.101346, 55.717853"
Jūrų muziejus,#icon-503-DB4436,"Smiltynės g. 3, Klaipėda","21.1014748, 55.7169827"
Prie bažnyčios Juodkrantėje,,#icon-503-DB4436-nodesc,"21.1169672, 55.532031"
Nida šiaurinis beach bar,,#icon-503-DB4436-nodesc,"20.9946156, 55.3237732"
Nidos gelbėjimo stotis,,#icon-503-DB4436-nodesc,"20.9834576, 55.3115632"
Poliklinikos,#icon-503-DB4436,"Taikos pr. 97A, Klaipėda","21.1668134, 55.6786249"
Naujoji Perkėla,#icon-503-DB4436,"Varnėnų g, Klaipėda","21.1401629, 55.6882784"
Akropolis,#icon-503-DB4436,"Taikos pr. 61A, Klaipėda","21.1533916, 55.6927656"
Vėtrungės,#icon-503-DB4436,"Taikos pr. 24T, Klaipėda","21.1469758, 55.6988243"
Senoji Perkėla,#icon-503-DB4436,"Danės g. 24, Klaipėda","21.1244023, 55.7067681"
Meridianas,#icon-503-DB4436,"Kurpių g. 17, Klaipėda","21.135217, 55.7102227"
Autobusų stotis,#icon-503-DB4436,"S. Nėries g. 5, Klaipėda","21.137073, 55.7197656"
Studlendas,#icon-503-DB4436,"H. Manto g. 92, Klaipėda","21.1240482, 55.7291189"
Melnragė,#icon-503-DB4436,"Audros g. 17, Klaipėda","21.0924196, 55.7376304"
Senasis Židinys,#icon-503-DB4436,"Žvejų g. 36, Palanga","21.0711765, 55.9250066"
Palangos centrinė gelbėjimo stotis,#icon-503-DB4436,"Žvejų g. 2A, Palanga","21.0566497, 55.9281322"
"PC ""Rimi"", Malūno g.",#icon-503-DB4436,"Malūno g. 10, Palanga","21.0788369, 55.9201613"
"PC ""Rimi"" Rąžė",#icon-503-DB4436,"Ronžės g. 82, Palanga","21.0658872, 55.9157964"
Girulių aikštelė,#poly-F8971B-2013-89,Stovyklos g. 9,"21.0862827, 55.7661929; 21.0816586, 55.7654807; 21.0818088, 55.7652514; 21.086551, 55.7659756; 21.0862827, 55.7661929"
Klaipėdos valstybinė kolegija,#poly-F8971B-2101-92,Jaunystės g. 2A,"21.1720383, 55.7268805; 21.171931, 55.726089; 21.1722422, 55.7261011; 21.1724567, 55.7268684; 21.1720383, 55.7268805"
Melnragės,#poly-F8971B-1901-97,Audros g. 15,"21.0926664, 55.7379596; 21.0926664, 55.7376033; 21.091454, 55.7375912; 21.091454, 55.7368059; 21.0919476, 55.736812; 21.0919583, 55.7373918; 21.0931385, 55.737416; 21.0930955, 55.7379596; 21.0926664, 55.7379596"
Norfa tauralaukis,#poly-F8971B-2901-110,Tauralaukio g. 1,"21.1428183, 55.7535438; 21.1426413, 55.753174; 21.1430463, 55.7531242; 21.1432421, 55.7535136; 21.1428183, 55.7535438"
Rimi Dragūnų,#poly-F8971B-2101-107,Liepojos g. 27,"21.1295199, 55.7528034; 21.1293536, 55.7519158; 21.1241448, 55.7515596; 21.124295, 55.7490296; 21.1265159, 55.7490779; 21.1292142, 55.7493285; 21.1300591, 55.7490885; 21.1305606, 55.7493557; 21.1307859, 55.7511067; 21.1307001, 55.7521754; 21.1299813, 55.7521754; 21.1299706, 55.7527973; 21.1295199, 55.7528034"
Rimi Slengiai,#poly-F8971B-2701-110,Dangaus g. 47,"21.192627, 55.7367002; 21.1921173, 55.7369298; 21.1916024, 55.7365553; 21.1921388, 55.7363378; 21.192627, 55.7367002"
"Aikštelė prie IKI aikštelės, Palanga",#poly-F8971B-1200-77,Taikos g. 68,"21.0803175, 55.918478; 21.0794914, 55.918502; 21.0793734, 55.9182284; 21.0800225, 55.9181383; 21.0803175, 55.918478"
"Aikštelė prie IKI aikštelės, Palanga",#icon-503-DB4436,Taikos g. 68,"21.0797971, 55.9183487"
Rimi Dragūnų,#icon-503-DB4436,"Liepojos g. 27, Klaipėda","21.1302924, 55.7520426"
"Prie stadijono, Palanga",#poly-F8971B-1200-77,S. Dariaus ir S. Girėno g. 49,"21.0662735, 55.9098977; 21.0661125, 55.9095549; 21.0686445, 55.908713; 21.0690308, 55.9093505; 21.0662735, 55.9098977"
Norfa tauralaukis,#icon-503-DB4436,"Tauralaukio g. 1, Klaipėda","21.1430383, 55.7534313"
"Prie stadijono, Palanga",#icon-503-DB4436,S. Dariaus ir S. Girėno g. 49,"21.0673785, 55.9094407"
Buvusios Palangos ligoninės aikštelė,#poly-F8971B-1200-77,Vytauto g. 170,"21.0753608, 55.9311675; 21.0744488, 55.9313178; 21.0732365, 55.9293945; 21.074127, 55.9292682; 21.0753608, 55.9311675"
Buvusios Palangos ligoninės aikštelė,#icon-503-DB4436,Vytauto g. 170,"21.0742342, 55.9302299"
Klaipėdos valstybinė kolegija,#icon-503-DB4436,"Jaunystės g. 2A, Klaipėda","21.1721349, 55.7264999"
"Malūno g., Palanga",#poly-F8971B-1200-77,Malūno g. 10,"21.0791373, 55.9209549; 21.0739231, 55.9214599; 21.0737514, 55.9210511; 21.0776138, 55.9208587; 21.0776138, 55.9206663; 21.0765624, 55.9207505; 21.0762191, 55.9200771; 21.0788584, 55.9197886; 21.0791373, 55.9209549"
"Malūno g., Palanga",,#icon-503-DB4436-nodesc,"21.078043, 55.9206783"
Girulių aikštelė,#icon-503-DB4436,"Stovyklos g. 9, Klaipėda","21.084094, 55.7658066"
Palangos oro uostas,#poly-F8971B-1200-77,Liepojos pl. 1,"21.0976178, 55.9706072; 21.0985083, 55.9722373; 21.0980362, 55.9723243; 21.0976365, 55.9714748; 21.0971725, 55.9706973; 21.0976178, 55.9706072"
Palangos oro uostas,#icon-503-DB4436,Liepojos pl. 1,"21.0978913, 55.9715018"
Palangos pirminės sveikatos apžiūros centras,#poly-F8971B-1200-77,Vasario 16-osios g. 88A,"21.0692239, 55.9166683; 21.0685372, 55.9167644; 21.068151, 55.9159287; 21.0688376, 55.9158205; 21.0692239, 55.9166683"
Palangos pirminės sveikatos apžiūros centras,#icon-503-DB4436,Vasario 16-osios g. 88A,"21.0686982, 55.9163496"
Palangos Rimi vidinis kiemelis,#poly-F8971B-1200-77,Ronžės g. 82,"21.0665444, 55.9153049; 21.0666731, 55.9155093; 21.0661903, 55.9156101; 21.066024, 55.9153936; 21.0665444, 55.9153049"
Palangos Rimi vidinis kiemelis,#icon-503-DB4436,Ronžės g. 82,"21.0663566, 55.9154627"
Klaipėdos valstybinė kolegija,#icon-503-DB4436,Jaunystės g. 2A,"21.1721456, 55.7265361"
Melnragės,#icon-503-DB4436,"Audros g. 15, Klaipėda","21.0918456, 55.7374764"
Rimi Slengiai,#icon-503-DB4436,Dangaus g. 47,"21.1920905, 55.7366912"
T. Mano muziejus,#poly-F8971B-2801-99,"Pamario g. 55, Nida","21.0107866, 55.3134209; 21.010572, 55.3129844; 21.0109636, 55.3129264; 21.011205, 55.3133568; 21.0107866, 55.3134209"
T. Mano muziejus,#icon-503-DB4436,"Pamario g. 55, Nida","21.010851, 55.3132652"
Nida-Smiltynė,#poly-F8971B-3001-61,"Nidos-Smiltynės pl., 93121","20.9909087, 55.3123692; 20.9909838, 55.312528; 20.9900612, 55.3130531; 20.9898573, 55.3129432; 20.9909087, 55.3123692"
Nida-Smiltynė,#icon-503-DB4436,"Nidos-Smiltynės pl., 93121","20.9904152, 55.3127356"
Pietinis paplūdimys,#poly-F8971B-2201-51,"Nidos-Smiltynės pl., 93122","20.9796917, 55.301475; 20.97893, 55.3007115; 20.9792733, 55.3005955; 20.9800673, 55.3013711; 20.9796917, 55.301475"
Pietinis paplūdimys,#icon-503-DB4436,"Nidos-Smiltynės pl., 93122","20.9795094, 55.3010719"
Centrinis paplūdimys,#poly-F8971B-2601-64,"Nidos-Smiltynės pl., 93125","20.9884679, 55.3100306; 20.9874594, 55.3091635; 20.9879529, 55.3089926; 20.9888756, 55.3099085; 20.9884679, 55.3100306"
Centrinis paplūdimys,#icon-503-DB4436,"Nidos-Smiltynės pl., 93125","20.9883177, 55.3096398"
Kuršiai,#poly-F8971B-2601-48,"Nidos-Smiltynės pl., 93126","20.9967184, 55.3228484; 20.996418, 55.3224639; 20.9959781, 55.3217924; 20.9965146, 55.3216947; 20.997287, 55.3226836; 20.9967184, 55.3228484"
Kuršiai,#icon-503-DB4436,"Nidos-Smiltynės pl., 93126","20.9966433, 55.3223998"
Preilos paplūdimys,#poly-F8971B-2001-56,"Nidos-Smiltynės pl., 93130","21.0326922, 55.3773427; 21.0325205, 55.3770867; 21.0333788, 55.3769282; 21.033529, 55.3771598; 21.0326922, 55.3773427"
Preilos paplūdimys,#icon-503-DB4436,"Nidos-Smiltynės pl., 93130","21.0330141, 55.3771598"
"Žaliasis kl., Juodkrantė",#poly-F8971B-2401-56,"Žaliasis kl. 6, Juodkrantė","21.1006808, 55.5451927; 21.100595, 55.5444522; 21.10111, 55.54444; 21.1011958, 55.5451684; 21.1006808, 55.5451927"
"Žaliasis kl., Juodkrantė",#icon-503-DB4436,"Žaliasis kl. 6, Juodkrantė","21.1008954, 55.5449378"
Juodkrantė,#poly-F8971B-2201-51,"L. Rėzos g.1, Juodkrantė","21.1174768, 55.5342714; 21.1172837, 55.5334457; 21.1180884, 55.5333789; 21.1183137, 55.5342168; 21.1174768, 55.5342714"
Juodkrantė,#icon-503-DB4436,"L. Rėzos g.1, Juodkrantė","21.1177665, 55.5338889"
LEZ1,#poly-F8971B-3201-77,"Pramonės g. 8A, Klaipėda 94102, Lietuva","21.1961031, 55.6921004; 21.1987209, 55.6928502; 21.1965752, 55.6947853; 21.1940002, 55.6940597; 21.1961031, 55.6921004"
LEZ1,#icon-503-DB4436,"Pramonės g. 8A, Klaipėda 94102, Lietuva","21.1973476, 55.693721"
LEZ2,#poly-F8971B-3001-77,"Verslo g. 12, Klaipėda 94102, Lietuva","21.2012529, 55.6944285; 21.2014675, 55.6941987; 21.2058663, 55.6950876; 21.205523, 55.6954262; 21.2012529, 55.6944285"
LEZ2,#icon-503-DB4436,"Verslo g. 12, Klaipėda 94102, Lietuva","21.203506, 55.6948457"
LEZ3,#poly-F8971B-2601-77,"Lypkių g., Klaipėda 94100, Lietuva","21.2022614, 55.688992; 21.2050135, 55.6863883; 21.2040319, 55.6861555; 21.2043457, 55.6857971; 21.2053033, 55.6860194; 21.208334, 55.6832221; 21.2089777, 55.6834398; 21.2060006, 55.6860738; 21.2083879, 55.686724; 21.2078863, 55.6872668; 21.2056681, 55.6865274; 21.2026477, 55.6891371; 21.2022614, 55.688992"
LEZ3,#icon-503-DB4436,"Lypkių g., Klaipėda 94100, Lietuva","21.2056732, 55.6861011"
LEZ4,#poly-F8971B-2601-77,"Kretainio g. 1, Klaipėda 94100, Lietuva","21.2041175, 55.6829076; 21.2048256, 55.6830164; 21.2030768, 55.6855084; 21.2023473, 55.6854116; 21.2041175, 55.6829076"
LEZ4,#icon-503-DB4436,"Kretainio g. 1, Klaipėda 94100, Lietuva","21.2035489, 55.6842382"
