Location Name,Type,Address,Coordinates
Valakampiai,#poly-F8971B-2401-87,"Vaidilutės g. 79, Vilnius","25.2945936, 54.7428044; 25.2944702, 54.7424607; 25.294674, 54.7424421; 25.2948967, 54.7423337; 25.2948055, 54.7421355; 25.2944863, 54.7421758; 25.2941644, 54.7414078; 25.2945077, 54.7413614; 25.2946687, 54.7417701; 25.2949262, 54.7423151; 25.2951729, 54.7425319; 25.2952266, 54.7427239; 25.2945936, 54.7428044"
Valakampiai,#icon-503-DB4436,"Vaidilutės g. 79, Vilnius","25.2948457, 54.7426186"
"Trakų Vokė ""Maxima""",#poly-F8971B-2401-87,"J. Tiškevičiaus g. 22, Vilnius","25.1105297, 54.6247235; 25.1090062, 54.6243384; 25.1093924, 54.6235682; 25.1111519, 54.6239657; 25.1105297, 54.6247235"
"Trakų Vokė ""Maxima""",#icon-503-DB4436,"J. Tiškevičiaus g. 22, Vilnius","25.1097357, 54.6241645"
Grigiškės,#icon-503-DB4436,"Kovo 11-osios g. 39, Grigiškės","25.0987065, 54.6686381"
Balsių mokykla - Vilnius,#poly-F8971B-2401-87,Bubilo g. 8 Vilnius,"25.3614878, 54.7789596; 25.3617668, 54.7783965; 25.3621101, 54.7784399; 25.3617883, 54.7789967; 25.3614878, 54.7789596"
Balsių mokykla - Vilnius,#icon-503-DB4436,Bubilo g. 8 Vilnius,"25.361681, 54.778873"
"Šiaurės g. PC ""Rimi"" - Vilnius",#poly-F8971B-2401-87,"Šiaurės g. 37, Vilnius","25.4093707, 54.7011554; 25.4094779, 54.7003867; 25.4121816, 54.7006099; 25.4119456, 54.701453; 25.4093707, 54.7011554"
"Šiaurės g. PC ""Rimi"" - Vilnius",#icon-503-DB4436,"Šiaurės g. 37, Vilnius","25.410701, 54.7009571"
Kairėnai,#poly-F8971B-2401-87,"Tulpių g., Galgiai","25.4122782, 54.7254628; 25.4119992, 54.7247565; 25.4134798, 54.7247193; 25.4135871, 54.7254133; 25.4122782, 54.7254628"
Kairėnai,#icon-503-DB4436,"Tulpių g., Galgiai","25.4128146, 54.7250787"
"PC ""Maxima"", Vydūno g.",#poly-F8971B-2401-87,"Vydūno g. 27, Vilnius, Lietuva","25.1725316, 54.7102492; 25.1724887, 54.7081603; 25.1699996, 54.7082348; 25.1699085, 54.7052562; 25.1748383, 54.703691; 25.1768124, 54.7029594; 25.1791299, 54.702228; 25.1817691, 54.7007401; 25.1835394, 54.7012051; 25.1852667, 54.7017444; 25.1869299, 54.7021721; 25.1879115, 54.7029811; 25.1887028, 54.704675; 25.1896134, 54.7060178; 25.1866079, 54.7068772; 25.1866186, 54.7087926; 25.1820293, 54.7100462; 25.1820749, 54.7088205; 25.1797199, 54.7088236; 25.1798058, 54.7098525; 25.1798058, 54.71015; 25.1725316, 54.7102492"
Buivydiškių kolegija - Vilnius,#icon-503-DB4436,"Beržų g. 2A, Buivydiškės","25.194397, 54.7166266"
"Beržų g. 2A, Buivydiškės",#poly-F8971B-2401-87,"Beržų g. 2A, Buivydiškės","25.1940751, 54.7165646; 25.194397, 54.7162919; 25.1947618, 54.7164655; 25.1945043, 54.716701; 25.1940751, 54.7165646"
Vilkpėdė - Vilnius,#poly-F8971B-2401-87,"Naujoji Riovonių g. 12, Vilnius","25.2331924, 54.6582194; 25.2332997, 54.6573257; 25.2337074, 54.6573381; 25.2336216, 54.6582442; 25.2331924, 54.6582194"
Vilkpėdė - Vilnius,#icon-503-DB4436,"Naujoji Riovonių g. 12, Vilnius","25.2333856, 54.6579091"
Tarandė,#poly-F8971B-2401-87,"Tarandės g. 28, Vilnius","25.2074432, 54.7496442; 25.2065849, 54.7495451; 25.2066708, 54.7492851; 25.2075076, 54.7494089; 25.2074432, 54.7496442"
Tarandė,#icon-503-DB4436,"Tarandės g. 28, Vilnius","25.207057, 54.7495328"
Naujoji Vilnia stotis,#poly-F8971B-2401-87,"Tremtinių g. 4, Vilnius 11118, Lietuva","25.4096496, 54.6934114; 25.4095209, 54.6938455; 25.4087055, 54.6937587; 25.4089844, 54.6928658; 25.4082978, 54.6927294; 25.4084265, 54.6923821; 25.4094887, 54.6927232; 25.4092634, 54.6933618; 25.4096496, 54.6934114"
Naujoji Vilnia stotis,#icon-503-DB4436,"Tremtinių g. 4, Vilnius 11118, Lietuva","25.4091346, 54.6935665"
"Naujoji Vilnia Parko g. PC ""IKI""",#poly-F8971B-2401-87,"Parko g. 34A, Vilnius ","25.42467, 54.6860877; 25.4246914, 54.6855667; 25.4255283, 54.6855543; 25.4255497, 54.6860753; 25.42467, 54.6860877"
"Naujoji Vilnia Parko g. PC ""IKI""",#icon-503-DB4436,"Parko g. 34A, Vilnius ","25.4251099, 54.6858365"
Pavilnys,#poly-F8971B-2401-87,"Gurių Sodų 4-oji g. 1, Vilnius","25.3416824, 54.662551; 25.3414035, 54.6617071; 25.3434205, 54.6614092; 25.3437424, 54.6623028; 25.3416824, 54.662551"
Pavilnys,#icon-503-DB4436,"Gurių Sodų 4-oji g. 1, Vilnius","25.3424764, 54.662129"
Skersinės gatvė - Vilnius,#icon-503-DB4436,"Skersinės g. 10, Vilnius","25.2713871, 54.7646512"
Skersinės gatvė - Vilnius,#poly-F8971B-2401-87,"Skersinės g. 10, Vilnius","25.2706575, 54.7649483; 25.2706361, 54.7642489; 25.2716982, 54.7640941; 25.2716446, 54.7648183; 25.2706575, 54.7649483"
"Pilaitė, Krovininių stotelė",#poly-F8971B-2401-87,"Pajautos g. 13, Vilnius","25.1727033, 54.7102058; 25.1726174, 54.7098959; 25.1796556, 54.7097595; 25.179677, 54.7101066; 25.1727033, 54.7102058"
"HBH, Plačioji g. - Vilnius, Lietuva",#poly-F8971B-2401-87,"5256 11, Raudondvaris 14257, Lithuania","25.2764511, 54.8268547; 25.2763224, 54.8266384; 25.2767944, 54.8265457; 25.2769232, 54.8267806; 25.2764511, 54.8268547"
"HBH, Plačioji g. - Vilnius, Lietuva",#icon-503-DB4436,"5256 11, Raudondvaris 14257, Lithuania","25.2765799, 54.8267249"
Lentvaris,#poly-F8971B-2401-87,,"25.0468379, 54.6446816; 25.0467736, 54.6443339; 25.0479054, 54.6442997; 25.0479376, 54.6446598; 25.0468379, 54.6446816"
Lentvaris,#icon-503-DB4436,,"25.0473154, 54.6445263"
Wakeway,#poly-F8971B-2401-87,"Ežero g. 13, Nemėžis","25.375886, 54.6391248; 25.3756928, 54.6381065; 25.3772378, 54.638032; 25.3775811, 54.6390752; 25.375886, 54.6391248"
